SA2,SA2 Name,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice),Commonwealth Rent Assistance (income units),,,,,,,,,,,,,,,,,,,,,
11096,Walgett - Lightning Ridge,9,118,903,<5,351,6,257,55,597,639,557,705,35,609,26,229,0,"2,208",<5,0,5,0,<5,<5,80,10,631,,,,,,,,,,,,,,,,,,,,,
11097,Broken Hill,22,74,"2,991",14,737,10,351,159,"1,304","1,326","1,132","1,149",110,983,62,392,<5,"5,656",<5,<5,12,0,17,15,129,29,"1,396",,,,,,,,,,,,,,,,,,,,,
11098,Far West,12,22,237,<5,60,<5,37,18,150,185,157,175,8,172,5,60,<5,570,<5,0,<5,0,<5,<5,25,<5,137,,,,,,,,,,,,,,,,,,,,,
11099,Coonabarabran,8,42,"1,395",<5,312,<5,173,141,477,623,488,528,50,398,47,122,<5,"2,420",<5,0,<5,0,<5,9,51,18,496,,,,,,,,,,,,,,,,,,,,,
11100,Dubbo - East,17,89,868,11,316,<5,154,97,463,879,732,670,92,419,46,295,<5,"2,012",<5,<5,<5,0,<5,<5,95,36,787,,,,,,,,,,,,,,,,,,,,,
11101,Dubbo - South,21,93,"2,121",11,443,9,186,258,733,"1,301","1,053",925,125,547,49,326,<5,"3,704",5,<5,8,0,<5,<5,108,47,"1,319",,,,,,,,,,,,,,,,,,,,,
11102,Dubbo - West,18,80,883,7,289,9,129,146,349,782,657,600,71,366,25,258,0,"1,847",<5,0,<5,0,<5,<5,100,18,628,,,,,,,,,,,,,,,,,,,,,
11103,Dubbo Region,<5,9,509,<5,105,5,40,81,116,277,189,147,31,90,11,54,<5,801,<5,0,0,0,<5,<5,7,13,121,,,,,,,,,,,,,,,,,,,,,
11104,Gilgandra,<5,29,632,<5,135,<5,74,90,208,353,279,302,22,191,15,101,0,"1,128",<5,0,<5,0,<5,<5,31,9,313,,,,,,,,,,,,,,,,,,,,,
11105,Narromine,8,73,841,<5,154,8,70,138,232,511,408,428,22,298,18,140,0,"1,431",<5,0,<5,0,<5,<5,55,5,441,,,,,,,,,,,,,,,,,,,,,
11106,Wellington,14,83,"1,226",5,343,11,191,133,481,717,580,664,60,504,51,199,0,"2,360",<5,0,5,0,<5,5,69,23,635,,,,,,,,,,,,,,,,,,,,,
11107,Branxton - Greta - Pokolbin,<5,8,844,6,268,<5,110,122,289,607,494,445,63,247,26,125,<5,"1,554",<5,0,<5,0,<5,<5,39,28,434,,,,,,,,,,,,,,,,,,,,,
11108,Cessnock,8,45,"3,002",12,"1,027",18,566,169,"1,551","1,918","1,658","1,598",201,"1,191",98,608,7,"6,464",9,<5,9,0,7,11,204,78,"2,209",,,,,,,,,,,,,,,,,,,,,
11109,Cessnock Region,<5,12,759,6,254,<5,123,137,342,497,380,422,70,268,20,104,<5,"1,516",<5,0,7,0,<5,6,33,32,304,,,,,,,,,,,,,,,,,,,,,
11110,Dungog,<5,10,"1,115",<5,293,7,145,208,401,543,419,458,106,283,30,95,<5,"1,960",<5,<5,<5,0,6,8,40,42,455,,,,,,,,,,,,,,,,,,,,,
11111,Kurri Kurri - Abermain,14,39,"2,222",17,897,15,472,88,"1,193","1,578","1,321","1,259",153,877,75,391,5,"4,890",11,<5,17,0,10,19,193,62,"1,524",,,,,,,,,,,,,,,,,,,,,
11112,Singleton,<5,26,"1,349",12,417,20,169,194,593,925,799,784,86,511,34,247,0,"2,674",<5,<5,10,0,<5,<5,93,38,742,,,,,,,,,,,,,,,,,,,,,
11113,Singleton Region,0,8,308,<5,113,<5,58,103,163,236,179,186,35,116,17,47,0,669,<5,0,<5,0,<5,<5,14,11,157,,,,,,,,,,,,,,,,,,,,,
11114,Maitland,<5,<5,742,14,216,10,85,52,382,483,394,477,90,290,26,113,0,"1,480",<5,0,0,0,<5,<5,52,40,737,,,,,,,,,,,,,,,,,,,,,
11115,Maitland - East,14,35,"3,385",33,957,26,416,348,"1,267","1,937","1,611","1,551",298,859,77,399,<5,"6,126",10,<5,17,0,6,8,170,140,"1,741",,,,,,,,,,,,,,,,,,,,,
11116,Maitland - North,<5,6,735,8,168,<5,55,114,128,346,260,268,58,103,8,45,0,"1,047",0,0,<5,0,0,0,15,35,220,,,,,,,,,,,,,,,,,,,,,
11117,Maitland - West,14,33,"2,425",19,800,29,360,169,"1,126","1,780","1,490","1,434",217,843,91,484,<5,"4,952",5,<5,10,0,7,7,168,72,"1,509",,,,,,,,,,,,,,,,,,,,,
11118,Thornton - Millers Forest,<5,7,778,19,328,11,93,86,313,676,525,528,112,207,22,121,<5,"1,454",<5,0,<5,0,<5,5,39,49,457,,,,,,,,,,,,,,,,,,,,,
11119,Anna Bay,<5,<5,935,7,226,5,89,107,251,353,271,301,51,195,13,53,<5,"1,485",<5,0,<5,0,<5,<5,22,19,677,,,,,,,,,,,,,,,,,,,,,
11120,Lemon Tree Passage - Tanilba Bay,6,19,"1,243",7,314,5,170,129,370,534,434,411,58,300,28,113,<5,"2,118",<5,0,7,0,<5,<5,55,17,618,,,,,,,,,,,,,,,,,,,,,
11121,Nelson Bay Peninsula,<5,16,"4,394",21,743,8,328,858,746,"1,143",874,945,164,650,44,208,0,"6,265",10,<5,10,0,<5,5,82,62,"1,747",,,,,,,,,,,,,,,,,,,,,
11122,Raymond Terrace,<5,42,"1,670",11,659,20,354,99,"1,010","1,373","1,169","1,167",131,753,60,368,<5,"3,845",<5,0,8,0,<5,7,169,51,"1,312",,,,,,,,,,,,,,,,,,,,,
11123,Seaham - Woodville,<5,<5,397,<5,121,0,33,91,96,218,146,173,37,65,6,31,0,618,<5,0,<5,0,0,<5,13,17,81,,,,,,,,,,,,,,,,,,,,,
11124,Tea Gardens - Hawks Nest,<5,<5,"1,619",<5,215,<5,87,374,208,221,179,205,64,155,10,48,0,"2,159",<5,0,<5,0,<5,0,15,9,330,,,,,,,,,,,,,,,,,,,,,
11125,Williamtown - Medowie - Karuah,<5,10,"1,588",13,479,14,200,150,446,867,698,667,117,349,35,163,0,"2,626",8,0,9,0,5,<5,61,44,909,,,,,,,,,,,,,,,,,,,,,
11126,Muswellbrook,5,37,"1,085",<5,343,10,169,132,615,"1,000",881,769,60,587,50,338,0,"2,575",<5,0,9,0,<5,<5,119,25,"1,298",,,,,,,,,,,,,,,,,,,,,
11127,Muswellbrook Region,0,<5,356,0,81,<5,39,79,86,209,173,149,19,96,6,44,<5,613,<5,0,<5,0,0,0,13,11,175,,,,,,,,,,,,,,,,,,,,,
11128,Scone,<5,7,767,<5,124,<5,55,117,156,291,221,247,34,148,13,65,0,"1,140",0,0,<5,0,<5,<5,21,7,373,,,,,,,,,,,,,,,,,,,,,
11129,Scone Region,<5,10,983,<5,182,<5,86,155,265,459,349,336,39,250,23,86,<5,"1,602",<5,0,6,0,<5,<5,31,15,393,,,,,,,,,,,,,,,,,,,,,
